,title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
11,Dự án căn hộ bcons sala 2pn 2wc 15 230tr đến khi nhận nhà, Bình Dương,51.0,1.6,2.0,2.0,29.0,,30.0,30.0,4.0,3949891
12,Căn hộ bcons polygon đa kết nối liền kề đường phạm văn đồng 15% đến khi nhận nhà, Bình Dương,41.0,1.4,1.0,1.0,29.0,,30.0,30.0,4.0,3945273
13,Đón đầu đại lộ đông tây rộng 32m với bcons plaza ngay trong làng đại học thủ đức, Bình Dương,51.0,1.7,2.0,2.0,28.0,,20.0,20.0,1.0,3946562
14,Chung cư tecco diamond thanh toán 550tr sở hữu căn hộ 2pn 64m nhận nhà ở ngay., Hà Nội,64.0,1.84,2.0,2.0,14.0,,30.0,30.0,1.0,3945877
15,Bán căn hộ chung cư Sơn An,,70.0,1.6,2.0,2.0,20.0,,30.0,30.0,2.0,3948009
16,"Bán gấp căn hộ đường đinh tiên hoàng, q1, 160m2 , chỉ 5,95 tỷ", TP HCM,118.0,5.95,2.0,3.0,2.0,,30.0,4.0,2.0,3947965
17,"Bán gấp căn hộ đường đinh tiên hoàng, q1, 160m2 , chỉ 5,95 tỷ", TP HCM,118.0,5.95,2.0,3.0,2.0,,30.0,4.0,2.0,3947965
18,"Chuyên bán căn hộ richstar 2pn giá 2tỷ450, 3pn 3tỷ4", TP HCM,65.0,2.91,2.0,2.0,20.0,,30.0,30.0,1.0,3948996
19,"Căn hộ richstar có hđmb dt 65m2 giá 2,750 tỷ - 3pn - 3,230 tỷ - lh ngay", TP HCM,65.0,2.75,2.0,2.0,20.0,,30.0,30.0,1.0,3949006
20,"Căn hộ giá rẻ , hưởng thụ mức sống chuyên gia", TP HCM,60.0,2.34,2.0,2.0,20.0,,30.0,30.0,2.0,3950141
21,"Bán cắt lỗ căn 2pn full đồ cao cấp tại chung cư kđt việt hưng, nội thất siêu đẹp", Hà Nội,65.0,2.0,2.0,2.0,20.0,,30.0,30.0,1.0,3881242
22,CĂN HỘ CHUNG CƯ CAO CẤP - SỔ HỒNG RIÊNG SỞ HỮU LÂU DÀI, ,96.0,3.0,3.0,3.0,33.0,,30.0,30.0,2.0,3950110
23,3pn tsg lotus sài đồng full đồ chỉ việc ở tầng đẹp view trọn vinhome riverside, Hà Nội,84.0,0.2352,3.0,2.0,20.0,,30.0,30.0,2.0,3950129
24,Bán căn tecco diamond giá hơn 1 tỷ hỗ trợ 70%, Hà Nội,110.0,2.0,3.5,3.0,8.0,Đông nam,30.0,10.0,2.0,3947490
25,Mở bán căn hộ chung cư cao chuẩn 5 sao cấp dự án t t capella số 2 phạm ngọc thạc, Hà Nội,68.0,0.1,2.0,2.0,20.0,,8.0,30.0,2.0,3950099
26,Căn góc 4pn 148m giá 5.2 tỷ udic westlake đối diện lotte mall tây hồ, Hà Nội,118.0,5.2,2.0,2.0,20.0,,30.0,30.0,2.0,3945331
27,"Bán căn hộ udic westlake 3pn 168m ck 4% giá chỉ 5.4 tỷ, tặng phí dv 2 năm", Hà Nội,118.0,5.4,2.0,2.0,20.0,,30.0,30.0,2.0,3945347
28,4.9 tỷ căn hộ 3pn 106m the link ciputra hướng mát view nội khu, Hà Nội,106.0,4.9,2.0,2.0,20.0,,30.0,30.0,2.0,3945361
29,Căn hộ đẹp nhất quận ba đình brg 16 láng hạ 3pn 123m view hồ thành công, Hà Nội,118.0,9.4,2.0,2.0,20.0,,30.0,30.0,2.0,3945393
30,"Căn hộ hạng sang 2pn diện tích 82m2 giá 6,4 tỷ dự án brg 16 láng hạ", Hà Nội,82.0,6.4,2.0,2.0,20.0,,30.0,30.0,2.0,3946907
31,Mở bán căn hộ cao cấp t&t capella số 2 phạm ngọc thạch, Hà Nội,86.0,7.5,2.0,2.0,20.0,,30.0,30.0,2.0,3948189
32,Bán căn hộ quận ba đình 1pn 54m brg 16 láng hạ tầng cao view phố đẹp, Hà Nội,54.0,4.0,2.0,2.0,20.0,,30.0,30.0,2.0,3945430
33,"Căn hộ 2pn 100m brg 16 láng hạ, view trọn hồ, giá 9.1 tỷ, htls 0% 1 năm", Hà Nội,100.0,9.1,2.0,2.0,20.0,,30.0,30.0,2.0,3946879
34,"Bán căn duplex tây hồ 250m2 giá 8.4 tỷ udic westlake, ký hđ trực tiếp cđt", Hà Nội,118.0,8.4,3.5,3.0,20.0,,30.0,30.0,2.0,3949894
35,"Căn hộ 3pn 126m2 giá 5.2 tỷ bc đông nam udic westlake ck 3%, tặng 2 năm phí dv", Hà Nội,118.0,5.2,2.0,2.0,20.0,,30.0,30.0,2.0,3945224
36,Căn hộ tây hồ 2pn 85m udic westlake đối diện lotte mall giá chỉ 3 3 tỷ nhận nhà, Hà Nội,85.0,0.2805,2.0,2.0,20.0,,30.0,30.0,2.0,3945166
37,Mở bán căn hộ t&t capella pham ngọc thạch, Hà Nội,68.0,0.08,2.0,2.0,24.0,,30.0,30.0,2.0,3950122
38,"Mở bán chung cư mini kim liên 580tr/căn 1-2pn full nội thất, nhận nhà ngay", Hà Nội,35.0,0.58,1.0,1.0,7.0,,30.0,30.0,2.0,3864966
39,"Chính chủ bán ccmn kim mã- đội cấn 600tr/căn 1-2pn có view hồ,tách sổ hồng,đủ nt", Hà Nội,30.0,0.6,1.0,1.0,6.0,,30.0,30.0,2.0,3759770
40,"Cđt mở bán chung cư mini hồ tùng mậu 30-55m2 full nội thất, vào ở ngay", Hà Nội,35.0,0.55,1.0,1.0,20.0,,30.0,30.0,2.0,3879699
41,"Mở bán chung cư mini kim liên 580tr/căn 1-2pn full nội thất, nhận nhà ngay", Hà Nội,35.0,0.58,1.0,1.0,7.0,,30.0,30.0,2.0,3864966
42,Cđt bán chung cư cao cấp nguyễn văn cừ 600tr/c đủ nội thất, Hà Nội,39.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3176124
43,"Chính chủ đầu tư bán chung cư mini hồ tùng mậu 550tr/căn 1-2pn, đủ nội thất", Hà Nội,35.0,0.55,2.0,2.0,20.0,,30.0,30.0,2.0,3875016
44,Chủ đầu tư bán ccmn vân hồ- công viên thống nhất chỉ hơn 600tr/căn full nội thất, Hà Nội,31.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3701372
45,"Chính chủ bán ccmn kim mã - núi trúc 700tr/căn 35-55m2 full nội thất, ở ngay", Hà Nội,35.0,0.7,1.0,1.0,20.0,,30.0,30.0,2.0,3738229
46,"Chủ đầu tư bán ccmn ngõ 20 hồ tùng mậu 1-2pn, 550tr/căn (30-50m2) full nội thất,", Hà Nội,30.0,0.55,1.0,1.0,20.0,,30.0,30.0,2.0,3896947
47,Cần bán căn hộ chung cư cao cấp tại phạm ngọc thạch giá chỉ từ 4 tỷ, Hà Nội,53.0,4.0,2.0,2.0,20.0,,30.0,30.0,2.0,3950115
48,Westgate mua nhà dễ hơn thuê nhà - thanh toán chỉ đủ 20% nhận nhà full nội thất, TP HCM,60.0,2.4,2.0,2.0,8.0,Đông nam,50.0,50.0,3.0,3944639
49,Sky89 110m2 3pn căn góc 2 view sông - giỏ hàng trực tiếp cđt chiết khấu 12% giá, TP HCM,110.0,5.6,3.0,1.0,8.0,Đông,60.0,60.0,3.0,3944645
50,Suât nội bộ lacasa sky89 căn 110m2 3pn-2wc trực diện sông sg chiết khấu 12% giá, TP HCM,110.0,5.4,3.0,2.0,33.0,Đông,20.0,20.0,3.0,3944647
51,Căn hộ cao cấp trung tâm quận đống đa giá chỉ từ 4 tỷ, Hà Nội,90.0,7.2,2.0,2.0,20.0,,30.0,30.0,2.0,3950114
52,"Lavita thuận an chiết khấu ngay 700 triệu, tt 30% đến khi nhận nhà, miễn phí lãi", Bình Dương,54.0,1.4,2.0,2.0,20.0,Đông nam,30.0,30.0,2.0,3950105
53,"Chỉ 770tr sở hữu căn 62m2 2pn view sân bay, ls 0% tại berriver jardin 390 nguyễn", Hà Nội,63.0,2.9,2.0,1.0,20.0,,30.0,30.0,2.0,3950082
54,"Chủ đầu tư bán chung cư kim mã - giảng võ 600tr/căn full nội thất,tách sổ hồng", Hà Nội,30.0,0.6,1.0,1.0,7.0,,30.0,30.0,2.0,3787304
55,"Cực hot: cđt bán chung cư trần khát chân hơn 700tr/căn oto đỗ cửa,nội thất c.cấp", Hà Nội,30.0,0.7,1.0,1.0,20.0,,30.0,30.0,2.0,3813205
56,"Chính chủ bán ccmn nguyễn khánh toàn 600tr/căn 30-50m2 oto đỗ cửa,full nội thất", Hà Nội,30.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3831538
57,Chủ đầu tư bán ccmn trần thái tông 30 50m2 giá từ 600tr căn, Hà Nội,30.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3608364
58,Hot- mở bán ccmn tân mai- hồ đền lừ chỉ từ 600tr/căn 1-2pn full nội thất, Hà Nội,30.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3741619
59,Cđt bán ccmn nguyễn văn cừ (cầu chương dương) chỉ 650tr/căn 35-50m2 oto đỗ cửa, Hà Nội,35.0,0.65,1.0,1.0,6.0,,30.0,30.0,2.0,3713558
60,Chính chủ bán ccmn 279 đội cấn hoàng hoa thám hơn 700tr căn 40 50m2 full đồ, Hà Nội,42.0,0.8,1.0,1.0,20.0,,30.0,30.0,2.0,3503466
61,"Mở bán ccmn chương dương- nguyễn văn cừ 30-50m2/full nội thất,chỉ hơn 600tr", Hà Nội,35.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3938290
62,Chủ đầu tư bán ccmn trần thái tông 30 50m2 giá từ 600tr căn, Hà Nội,30.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3608364
63,"Chính chủ bán chung cư tây hồ- trích sài từ 600tr/căn 28- 50m2 ở ngay, view hồ", Hà Nội,30.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3781186
64,"Chính chủ mở bán ccmn quan hoa hơn 600tr/căn 30-50m2 oto đỗ 30m,đủ nội thất", Hà Nội,30.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3795970
65,"Chung cư cao cấp tôn đức thắng 35-60m2 đủ nội thất, ck khủng", Hà Nội,35.0,0.55,2.0,2.0,20.0,,30.0,30.0,2.0,3172005
66,Bán nhanh căn hộ 90m2-2 ngủ tại khu đô thị văn khê- hà đông-hà nội, Hà Nội,90.0,2.0,2.0,2.0,1.0,,30.0,30.0,2.0,3950072
67,Bán căn góc 2 phòng ngủ tầng 7 ct7b vĩnh điềm trung, Khánh Hòa,80.0,1.6,2.0,1.0,20.0,,30.0,30.0,2.0,3844033
68,"Căn hộ hc golden city, long biên: 148m2, 4 phòng ngủ, chỉ 6,5 tỷ (giá chưa triết", Hà Nội,118.0,6.0,3.5,3.0,20.0,,30.0,30.0,2.0,3950065
69,Căn hộ cao cấp view biển the ruby hạ long, Quảng Ninh,70.0,2.0,2.0,2.0,35.0,,30.0,30.0,2.0,3946430
70,Căn hộ cáo cấp view hướng biển vị trí đẹp chính sách hấp dẫn, Quảng Ninh,70.0,2.0,2.0,2.0,35.0,,30.0,30.0,2.0,3946438
71,Bán căn hộ chung cư view biển sở hữu lâu dài, Quảng Ninh,70.0,2.0,2.0,2.0,35.0,,30.0,30.0,2.0,3949694
72,Bán căn hộ hướng biển 3 trong 1 the ruby hạ long, Quảng Ninh,70.0,2.0,2.0,2.0,35.0,,30.0,30.0,2.0,3947763
73,Bán căn hộ chung cư tôn thất tùng - view hồ - ô tô đỗ cửa., Hà Nội,50.0,0.9,2.0,1.0,20.0,,5.0,30.0,2.0,3856243
74,Bán chung cư ngõ 189 hoàng hoa thám - mới - ở ngay - có sổ hồng., Hà Nội,35.0,0.78,1.0,1.0,5.0,,3.0,30.0,2.0,3918271
75,Bán chung cư nguyễn trãi - thanh xuân - 1 đến 3 ngủ., Hà Nội,33.0,0.72,1.0,1.0,20.0,,30.0,30.0,2.0,3925310
76,"Bán chung cư phương mai - gải phóng - sổ hồng, ở ngay.", Hà Nội,45.0,0.68,1.0,1.0,20.0,,30.0,30.0,2.0,3938394
77,Bán chung cư trích sài - view hồ tây - cách hồ tấy 50m., Hà Nội,35.0,0.8,1.0,1.0,20.0,,30.0,30.0,2.0,3920912
78,Bán chung cư hoàng hoa thám - ngõ ô tô - sỗ hồng vĩnh viễn., Hà Nội,35.0,0.68,1.0,1.0,20.0,,30.0,30.0,2.0,3923982
79,Bán căn hộ chung cư đống đa - ô tô đỗ cửa - mới, Hà Nội,30.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3858482
80,Bán chung cư tam khương - tôn thất tùng - view hồ - ở ngay., Hà Nội,35.0,0.56,2.0,2.0,20.0,Đông nam,3.0,30.0,2.0,3852510
81,Bán căn hộ chung cư tôn thất tùng - view hồ - ô tô đỗ cửa., Hà Nội,50.0,0.9,2.0,1.0,20.0,,5.0,30.0,2.0,3856243
82,"Bán chung cư phương mai - gải phóng - sổ hồng, ở ngay.", Hà Nội,45.0,0.68,1.0,1.0,20.0,,30.0,30.0,2.0,3938394
83,"Bán chung cư hoàng hoa thám , văn cao, đội cấn , full nội thất, ở ngay.", Hà Nội,50.0,0.86,2.0,1.0,20.0,,30.0,30.0,2.0,3871134
84,Bán căn hộ chung cư văn tiến dũng - cầu diễn - mới, Hà Nội,35.0,0.79,1.0,1.0,20.0,,30.0,30.0,2.0,3856222
85,"Bán căn hộ chung cư - ở, đầu tư cho thuê, thanh khoản tốt.", Hà Nội,30.0,0.68,1.0,1.0,20.0,,5.0,30.0,2.0,3855734
86,Bán căn hộ chung cư xã đàn - khâm thiên - tôn đức thắng., Hà Nội,50.0,0.86,2.0,1.0,20.0,,30.0,30.0,2.0,3858674
87,Bán chung cư mini trích sài - sổ hồng vĩnh viễn - viesw hồ tây., Hà Nội,55.0,1.0,2.0,1.0,20.0,,30.0,30.0,2.0,3920925
88,"Bán chung cư t23 quan nhân - vũ trọng phụng - thiết kê hiện đại, thông thoáng.", Hà Nội,33.0,0.6,1.0,1.0,5.0,,3.0,30.0,2.0,3931148
89,Bán chung cư mini cầu diễn - văn tiến dũng - 42m2 - 660tr, Hà Nội,42.0,0.66,1.0,1.0,20.0,,30.0,30.0,2.0,3854730
90,Bán chung cư cầu diễn - văn tiến dũng - đh công nghiệp hà nội, Hà Nội,28.0,0.5,1.0,1.0,20.0,,30.0,30.0,2.0,3855259
91,Tôi cần bán căn hộ 2 ngủ-82m2 tại chung cư hòa phát 257 giải phóng-hà nội, Hà Nội,82.0,3.0,2.0,2.0,1.0,,30.0,30.0,2.0,3947380
92,Bán căn hộ 92m2 tại chung cư cao cấp artemis-lê trọng tấn-thanh xuân-hn, Hà Nội,92.0,4.2,2.0,2.0,1.0,,30.0,30.0,2.0,3947384
93,Bán gấp căn hộ 3 ngủ tại chung cư ct8-the emerald mỹ đình-hà nội, Hà Nội,103.0,4.3,3.0,2.0,1.0,,30.0,30.0,2.0,3947392
94,Mình cần bán căn hộ 3 ngủ-109m2 tại chung cư hòa phát 257 giải phóng-hn, Hà Nội,109.0,4.1,3.0,2.0,1.0,,30.0,30.0,2.0,3947369
95,Bán nhanh căn hộ 166m3-3 ngủ tại kđt văn khê- hà đông-hn, Hà Nội,118.0,3.3,3.0,3.0,1.0,,30.0,30.0,1.0,3945878
96,Mình bán căn hộ 4 ngủ chung cư usilk city-hà đông-hn, Hà Nội,118.0,4.0,3.5,2.0,1.0,,30.0,30.0,2.0,3947194
97,Bán căn hộ 92m2 tại chung cư cao cấp artemis-lê trọng tấn-thanh xuân-hn, Hà Nội,92.0,4.2,2.0,2.0,1.0,,30.0,30.0,2.0,3947384
98,Bán gấp căn hộ 3 ngủ tại chung cư ct8-the emerald mỹ đình-hà nội, Hà Nội,103.0,4.3,3.0,2.0,1.0,,30.0,30.0,2.0,3947392
99,"Bán gấp căn hộ chung cư cao cấp giá nhỉnh 1 tỷ the zenpark (ruby), r1.05vinhomes", Hà Nội,50.0,1.5,1.0,1.0,20.0,,30.0,30.0,2.0,3950047
100,Cần bán chung cư tecco diamond giá ưu đãi, Hà Nội,64.0,1.8,2.0,2.0,25.0,,30.0,30.0,2.0,3950043
101,"Tôi cần bán 2 căn hộ chung cư center point, lê văn lương tầng 21 dt 81 m2", Hà Nội,80.0,3.2,3.0,2.0,21.0,,30.0,30.0,2.0,3834937
102,Bán chung cư ct4 vimeco mặt phố tú mỡ nguyễn chánh vị trí cực đẹp, Hà Nội,118.0,5.6,3.0,3.0,39.0,,30.0,30.0,2.0,3830215
103,Bán căn pent house tòa ct4 vimeco nguyễn chánh cầu giấy lh0988569695, Hà Nội,118.0,9.94,2.0,2.0,20.0,Đông bắc,30.0,30.0,2.0,3919356
104,Bán căn chung cư mandarin hòa phát trung hòa nhân chính 130 m2 lh0988569695, Hà Nội,118.0,6.5,3.0,2.0,20.0,Tây bắc,30.0,30.0,2.0,3920448
105,Bán căn hộ duplex cao cấp 97-99 láng hạ đống đa view hồ lh 0988569695, Hà Nội,118.0,10.0,3.5,3.5,20.0,Đông,30.0,30.0,2.0,3924210
106,Căn hộ quy nhơn melody view đẹp vị trí độc tôn sát biển, Bình Định,50.0,1.7,2.0,1.0,35.0,Đông,40.0,40.0,2.0,3430539
107,"Thông tin căn hộ new galaxy nha trang sát biển, sở hữu lâu dài chỉ với 1.7 tỷ", Khánh Hòa,35.0,1.7,1.0,1.0,23.0,,30.0,30.0,1.0,3947441
108,Chỉ cần 500 triệu sở hữu căn hộ biển cạnh vinpearl - dự án new galaxy nha trang, Khánh Hòa,35.0,1.7,1.0,1.0,23.0,,30.0,30.0,1.0,3947459
109,Bán căn hộ biên hòa universe complex có smart home đầu tiên ở khu vực, Đồng Nai,73.0,2.25,2.0,2.0,29.0,,40.0,40.0,2.0,3850643
110,"Tiến độ bàn giao q7 boulevard. liên hệ 0931 025 383 để nhận thông tin, bảng giá", TP HCM,50.0,2.3,1.0,1.0,23.0,,40.0,40.0,1.0,3926637
111,Nhận ngay chiết khấu đến 18% khi mua căn hộ new galaxy hưng thịnh, Bình Dương,52.0,1.7,1.0,1.0,19.0,,32.0,32.0,1.0,3790757
112,"Hưng thịnh mở bán chung cư lavita thuận an cao cấp, mặt tiền đại lộ bình dương", Bình Dương,70.0,2.25,2.0,2.0,38.0,,40.0,40.0,1.0,3894046
113,"Block mặt tiền căn hộ lavita thuận an, căn đẹp giá rẻ, chiết khấu đến 18%/năm", Bình Dương,51.0,1.8,1.0,1.0,33.0,,40.0,40.0,1.0,3917306
114,"Bán căn hộ 3pn 87m2 tại long biên-hc golden , giá chỉ tu 3.8 tỷ", Hà Nội,87.0,3.8,3.0,2.0,20.0,Đông bắc,30.0,30.0,4.0,3915198
115,"Chung cư mini trích sài - văn cao full nội thất view hồ tây, gần mặt đường", Hà Nội,32.0,0.65,1.0,1.0,20.0,,30.0,30.0,2.0,3922535
116,Chung cư mini xuân đỉnh công viên hòa bình ngõ 2 ô tô chánh nhau, Hà Nội,45.0,0.6,2.0,1.0,20.0,,30.0,30.0,2.0,3821260
117,Chung cư mini văn cao - hoàng hoa thám - trích sài ngay mặt hồ tây, Hà Nội,32.0,0.65,1.0,1.0,20.0,,30.0,30.0,2.0,3922713
118,Chung cư mini hào nam full nội thất cách mặt đường 20m, Hà Nội,42.0,0.84,2.0,1.0,20.0,,30.0,30.0,2.0,3707042
119,Chung cư mini kim mã full vào ở luôn tặng ngay bộ nội thất, Hà Nội,32.0,0.63,1.0,1.0,5.0,,3.0,30.0,2.0,3641471
120,"Chung cư mini trích sài - văn cao full nội thất view hồ tây, gần mặt đường", Hà Nội,32.0,0.65,1.0,1.0,20.0,,30.0,30.0,2.0,3922535
121,Chung cư mini dịch vọng hậu full nội thất 600 đến 1 tỷ /căn, Hà Nội,35.0,0.6,1.0,1.0,20.0,,30.0,30.0,2.0,3534789
122,Chung cư mini dịch vọng hậu nội thất cao cấp chỉ từ 800 tr, Hà Nội,43.0,0.8,2.0,1.0,20.0,,30.0,30.0,2.0,3536945
123,Chung cư mini lạc long quân ô tô đỗ cửa view hồ tây, Hà Nội,35.0,0.55,2.0,1.0,20.0,,5.0,30.0,2.0,3670244
124,Chung cư mini phương liên xã đàn chỉ hơn 500 triệu full đồ, Hà Nội,32.0,0.55,1.0,1.0,20.0,,30.0,30.0,2.0,3671943
125,Chung cư mini 280 xã đàn chỉ hơn 500 triệu full nội thất, Hà Nội,45.0,0.92,2.0,1.0,20.0,,30.0,30.0,2.0,3677816
126,"Chung cư võng thị - tây hồ, cực đẹp, view hồ tây", Hà Nội,48.0,1.1,2.0,1.0,20.0,,30.0,30.0,2.0,3679827
127,Chung cư mini ngõ chợ khâm thiên chỉ từ 550 triệu/căn đủ đồ, Hà Nội,35.0,0.78,1.0,1.0,20.0,,30.0,30.0,2.0,3682250
128,Mở bán chung cư mini cầu diễn - hồ tùng mậu chỉ từ 550 triệu/căn ngõ ô tô, Hà Nội,31.0,0.55,1.0,1.0,20.0,,30.0,30.0,2.0,3769103
129,Chủ đầu tư mở bán chung cư mini nguyễn văn huyên - cv nghĩa đô, Hà Nội,45.0,0.6,2.0,1.0,20.0,,30.0,30.0,2.0,3769396
130,"Chung cư mini hoàng hoa thám - văn cao - liễu giai, ba đình giá chỉ 630 - 1050tr", Hà Nội,48.0,0.85,2.0,1.0,20.0,,30.0,30.0,2.0,3923165
131,Mở bán chung cư mini nguyễn văn cừ - long biên chỉ từ 650 triệu full nội thất, Hà Nội,42.0,0.65,2.0,2.0,20.0,,30.0,30.0,2.0,3937981
132,Chung cư mini hồ tùng mậu - xuân thủy chỉ hơn 500 triệu/căn, Hà Nội,31.0,0.56,1.0,1.0,20.0,,30.0,30.0,2.0,3862664
133,"Chung cư mini trần khát chân gần đh bách khoa, full nội thất ở ngay", Hà Nội,42.0,0.65,2.0,1.0,20.0,,30.0,30.0,2.0,3819499
134,Bán gấp căn hộ chung cư mini sơn tây cách mặt đường 10m, Hà Nội,48.0,1.2,2.0,1.0,20.0,,30.0,30.0,2.0,3447487
135,Chung cư mini đội cấn chỉ từ 950 triệu căn hộ 2 phòng ngủ,,48.0,0.95,2.0,2.0,20.0,,30.0,30.0,2.0,2623702
136,Mở bán chung cư mini cầu diễn - hồ tùng mậu chỉ từ 550 triệu/căn ngõ ô tô, Hà Nội,31.0,0.55,1.0,1.0,20.0,,30.0,30.0,2.0,3769103
137,Chủ đầu tư mở bán chung cư mini nguyễn văn huyên - cv nghĩa đô, Hà Nội,45.0,0.6,2.0,1.0,20.0,,30.0,30.0,2.0,3769396
138,Chung cư mini sơn tây kim mã cách mặt phố 20m đủ nội thất, Hà Nội,45.0,0.9,2.0,1.0,20.0,,30.0,30.0,2.0,3490225
139,Bán gấp căn hộ chung cư mini sơn tây cách mặt đường 10m, Hà Nội,48.0,1.2,2.0,1.0,20.0,,30.0,30.0,2.0,3447487
140,Chung cư mini đội cấn chỉ từ 950 triệu căn hộ 2 phòng ngủ,,48.0,0.95,2.0,2.0,20.0,,30.0,30.0,2.0,2623702
141,Mở bán chung cư mini ngọc lâm - nguyễn văn cừ chân cầu chương dương đủ nội thất, Hà Nội,42.0,0.6,2.0,2.0,20.0,,30.0,30.0,2.0,3938344
142,"Bán gấp căn hộ ở vinhomes oceanpark, gia lâm", Hà Nội,74.0,3.3,2.0,2.0,20.0,Tây Nam,30.0,30.0,2.0,3950026
143,"Bán căn hộ chung cư nhà ở xã hội tại evergreen việt yên, bắc giang", Bắc Giang,60.0,0.738,2.0,1.0,20.0,,30.0,30.0,4.0,3950020
144,"Bán cc vincom quang trung- vinh,lô góc,căn cao,s 67.5 m2,giá 1.630 tỷ,0978331669", Nghệ An,67.5,1.63,2.0,2.0,19.0,,30.0,30.0,2.0,3945074
145,"Cần bán căn hộ 137 nguyễn ngọc vũ,s 140m2, lô góc,giá 25 triệu/m2,lh 0978331669", Hà Nội,118.0,3.5,2.0,2.0,20.0,,30.0,30.0,2.0,3941943
146,"790tr sở hữu ngay căn hộ mini tại phố đội cấn ba đình, ở ngay, full đồ", Hà Nội,31.0,0.79,1.0,1.0,7.0,Đông bắc,5.0,6.0,2.0,3933849
147,"`mở bán chung cư mini cách đh thương mại 300m ở ngay ful đồ, vuông đẹp, từ 650tr", Hà Nội,30.0,0.65,1.0,1.0,7.0,Đông bắc,5.0,6.0,2.0,3933834
148,"Chết khấu khủng 120tr khi mua căn hộ mini tại trần khát chân hai bà trưng, hà", Hà Nội,35.0,0.78,1.0,1.0,7.0,Đông nam,6.0,5.0,2.0,3894342
149,"Chung cư mini trần khát chân mới, rẻ, đẹp,ở ngay full đồ 32 50m2", Hà Nội,35.0,0.75,1.0,1.0,6.0,Đông bắc,3.0,4.0,2.0,3919158
150,"Căn hộ đẹp, giá rẻ, ở ngay đến ngay chung cư mini hồ tùng mậu từ 600tr/căn, mới", Hà Nội,30.0,0.55,1.0,1.0,7.0,Bắc,4.0,5.0,2.0,3934419
151,Thời điểm mua nhà lí tưởng đây ạ chiết khấu khủng tại chung cư mini xuân đỉnh, Hà Nội,34.0,0.59,1.0,1.0,6.0,Nam,4.0,5.0,1.0,3937907
152,Đây chính la thời điểm mua nhà lý tưởng trong năm tại chung cư mini xuân đỉnh tặ, Hà Nội,48.0,0.8,2.0,1.0,7.0,Đông bắc,4.0,6.0,2.0,3940959
153,Siêu hottặng ngay 1 cây vàng khi mua căn hộ tại chung cư mini xuân đỉnh mới ở, Hà Nội,34.0,0.6,1.0,1.0,6.0,Đông nam,4.0,5.0,2.0,3936879
