title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
290 triệu sở hữu căn hộ cách phạm văn đồng 3 phút xe máy,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",54,1.9,2,2,29,,12,12,1,3945962
Chung cư tecco diamond thanh toán 550tr sở hữu căn hộ 2pn 64m nhận nhà ở ngay.,"Tecco Diamond, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",64,1.84,2,2,14,,,,1,3945877
Căn hộ bcons polygon đa kết nối liền kề đường phạm văn đồng 15% đến khi nhận nhà,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",41,1.4,1,1,29,,,,4,3945273
🔥hot hot 🔥 giá trị tài sản gia tăng bền vững với imperium town nha trang,"Imperium Town, Phường Phước Long, Thành Phố Nha Trang, Khánh Hòa",37.7,1.58,1,1,,,,,,3947352
Đón đầu đại lộ đông tây rộng 32m với bcons plaza ngay trong làng đại học thủ đức,"Thống Nhất, Phường Đông Hòa, Thị Xã Dĩ An, Bình Dương",51,1.7,2,2,28,,20,20,1,3946562
Westgate mua nhà dễ hơn thuê nhà - thanh toán chỉ đủ 20% nhận nhà full nội thất,"West Gate Park, Thị Trấn Tân Túc, Huyện Bình Chánh, TP HCM",60,2.4,2,2,8,Đông nam,50,50,3,3944639
"Tôi cần bán 2 căn hộ chung cư center point, lê văn lương tầng 21 dt 81 m2","Hà Nội Center Point, Quận Thanh Xuân, Hà Nội",80,3.2,3,2,21,,,,,3834937
Bán căn chung cư mandarin hòa phát trung hòa nhân chính 130 m2 lh0988569695,"Hoàng Minh Giám, Quận Cầu Giấy, Hà Nội",130,6.5,3,2,,Tây bắc,,,,3920448
Bán căn hộ duplex cao cấp 97-99 láng hạ đống đa view hồ lh 0988569695,"Láng Hạ, Quận Đống Đa, Hà Nội",349,10,4,4,,Đông,,,,3924210
Bán căn penthouse n04 hoàng đạo thúy cầu giấy kèm ảnh chụp 0988569695,"Chung cư n04 đông nam Trần Duy Hưng, Quận Cầu Giấy, Hà Nội",370,14.5,4,,,,,,,3924213
Bán căn hộ duplex cao cấp 97-99 láng hạ đống đa view hồ lh 0988569695,"Láng Hạ, Quận Đống Đa, Hà Nội",349,10,4,4,,Đông,,,,3924210
Bán căn penthouse n04 hoàng đạo thúy cầu giấy kèm ảnh chụp 0988569695,"Chung cư n04 đông nam Trần Duy Hưng, Quận Cầu Giấy, Hà Nội",370,14.5,4,,,,,,,3924213
Nhà deco cực đẹp bán gấp tại chung cư mt nguyễn hữu thọ gần đh rmit quận 7,"Căn hộ Park Residence, Huyện Nhà Bè, TP HCM",73,2.3,2,2,,Đông bắc,,,4,3871880
Chính chủ bán nhanh căn hô sổ hồng mt lê văn lương,"Huyện Nhà Bè, TP HCM",85,2.05,2,2,,Đông nam,,,,3800094
Chính chủ bán gấp căn hộ hưng phát 1 giá chỉ 1 78 tỷ,"LÊ VĂN LƯƠNG, Xã Phước Kiển, Huyện Nhà Bè, TP HCM",56,1.78,,,,Đông nam,,,,3946287
Ket tiền bán gấp 2pn view hồ bơi giá 1.78 tỷ the park residence,"Căn hộ Park Residence, Huyện Nhà Bè, TP HCM",58,1.78,2,1,28,Đông nam,,,,3914558
Kẹt tiền bán lỗ 400tr căn hộ the park residence block b4,"NGUYỄN HỮU THỌ, Huyện Nhà Bè, TP HCM",106,2.53,,,,Đông bắc,,,,3158920
"Xoay vốn gấp, nên bán lỗ căn hộ 2pn 2wc có ban công 1.95 tỷ","Căn hộ Park Residence, Huyện Nhà Bè, TP HCM",73,1.95,2,2,28,Tây,,,,3724785
"Cđt hc golden city: nhận nhà ở ngay, tân gia 100tr, full nội thất, ck 4%,htls 0%","HC Golden City, Phường Bồ Đề, Quận Long Biên, Hà Nội",82,3.5,3,2,25,Đông bắc,40,,,3948232
"Trực tiếp cđt: sở hữu nhà gần cầu chương dương, vàng trao tay, htls 0%, ck 5%","Berriver Jardin, Phường Long Biên, Quận Long Biên, Hà Nội",75,0.2325,2,2,,,,,,3948237
"Trực tiếp le grand jardin: sở hữu nhà ở ngay, vàng trao tay, htls 0%, ck 5%","Chung cư Le Grand Jardin, Phường Sài Đồng, Quận Long Biên, Hà Nội",50,1.9,2,1,15,,,,,3948239
"Cđt valencia garden: chỉ 1,5 tỷ nhận ngay sổ đỏ căn 2pn, đông nam, view vinhomes","Căn hộ Valencia Garden, Phường Việt Hưng, Quận Long Biên, Hà Nội",61,1.5,2,1,,Đông nam,,,,3948241
"Chỉ đóng 1,5 tỷ sở hữu ngay căn hộ cao cấp vitoria village quận2.lh:0906021418","Victoria Village, Phường Thạnh Mỹ Lợi, Quận 2, TP HCM",70,1.5,2,2,15,,40,8,,3946231
"Chỉ đóng 1,32 tỷ sở hữu căn hộ sunshine city sài gòn, giỏ hàng trực tiếp từ cđt.","Sunshine City Sài Gòn, Phường Tân Phú, Quận 7, TP HCM",70,1.32,2,2,15,,20,8,,3946598
Chính chủ đầu tư bán ccmn kim mã chỉ từ 600tr/căn 35-60m2- có kiot kinh doanh,"Quận Ba Đình, Hà Nội",31,0.6,1,1,7,,,,,3709972
"Bán ccmn trần khát trân- hoa lư 600tr/căn ngõ oto, full nội thất,ở ngay","Quận Hai Bà Trưng, Hà Nội",30,0.6,1,1,,,,,,3798824
"Cực hot- mở bán ccmn tôn đức thắng- khâm thiên từ 600tr/căn oto đỗ cửa, full đồ","Quận Đống Đa, Hà Nội",30,0.6,1,1,,,,,,3170740
"Chính chủ bán ccmn nguyễn khánh toàn 600tr/căn 30-50m2 oto đỗ cửa,full nội thất","Quận Cầu Giấy, Hà Nội",30,0.6,1,1,,,,,,3831538
"Cđt mở bán chung cư mini hồ tùng mậu 30-55m2 full nội thất, vào ở ngay","Quận Cầu Giấy, Hà Nội",35,0.55,1,1,,,,,,3879699
"Mở bán chung cư mini kim liên 580tr/căn 1-2pn full nội thất, nhận nhà ngay","Quận Đống Đa, Hà Nội",35,0.58,1,1,7,,,,,3864966
Chính chủ đầu tư bán ccmn kim mã chỉ từ 600tr/căn 35-60m2- có kiot kinh doanh,"Quận Ba Đình, Hà Nội",31,0.6,1,1,7,,,,,3709972
"Chủ đầu tư mở bán ccmn nguyễn khánh toàn 700tr/căn 35-50m2 full nội thất,tách sổ","Quận Cầu Giấy, Hà Nội",30,0.6,1,1,,,,,,3811164
Mở bán căn hộ cao cấp t&t capella số 2 phạm ngọc thạch,"Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",86,7.5,,,,,,,,3948189
Căn hộ tây hồ 2pn 85m udic westlake đối diện lotte mall giá chỉ 3 3 tỷ nhận nhà,"Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",85,0.2805,,,,,,,,3945166
"Căn hộ 3pn 126m2 giá 5.2 tỷ bc đông nam udic westlake ck 3%, tặng 2 năm phí dv","Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",126,5.2,,,,,,,,3945224
"Căn hộ 2pn 100m brg 16 láng hạ, view trọn hồ, giá 9.1 tỷ, htls 0% 1 năm","Láng Hạ (Ba Đình), Phường Thành Công, Quận Ba Đình, Hà Nội",100,9.1,,,,,,,,3946879
"Căn hộ hạng sang 2pn diện tích 82m2 giá 6,4 tỷ dự án brg 16 láng hạ","Láng Hạ (Ba Đình), Phường Cống Vị, Quận Ba Đình, Hà Nội",82,6.4,,,,,,,,3946907
Bán căn hộ quận ba đình 1pn 54m brg 16 láng hạ tầng cao view phố đẹp,"Láng Hạ (Ba Đình), Phường Thành Công, Quận Ba Đình, Hà Nội",54,4,,,,,,,,3945430
Căn góc 4pn 148m giá 5.2 tỷ udic westlake đối diện lotte mall tây hồ,"Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",148,5.2,,,,,,,,3945331
"Bán căn hộ udic westlake 3pn 168m ck 4% giá chỉ 5.4 tỷ, tặng phí dv 2 năm","Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",168,5.4,,,,,,,,3945347
4.9 tỷ căn hộ 3pn 106m the link ciputra hướng mát view nội khu,"The Link 345 Ciputra, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",106,4.9,,,,,,,,3945361
Căn hộ đẹp nhất quận ba đình brg 16 láng hạ 3pn 123m view hồ thành công,"Láng Hạ (Ba Đình), Phường Thành Công, Quận Ba Đình, Hà Nội",123,9.4,,,,,,,,3945393
Ch ngay phạm văn đồng lk thủ đức -tt 300tr ngưng tới khi nhận nhà-trả góp 0%,"Phường Linh Tây, Quận Thủ Đức, TP HCM",51,1.9,2,2,29,Bắc,,,4,3946462
Bung rổ hàng nội bộ cđt -bcons polygon booking tầng đẹp giá tốt- thanh toán 300t,"Phường Linh Tây, Quận Thủ Đức, TP HCM",41,1.55,1,1,29,Bắc,,,4,3946653
Căn hộ dưới 2tỷ cho gia đình trẻ-gần tô ngọc vân thủ đức-tt 300tr - vay 30 năm,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",51,1.9,2,2,29,Bắc,,,4,3946833
Căn hộ lk phạm văn đồng - 2pn2wc tt 300tr nhận nhà - vay 70% trong 20 năm,"Phường Linh Tây, Quận Thủ Đức, TP HCM",54,1.9,2,2,29,Bắc,,17,4,3948100
Ch bcons gần bệnh viện thủ đức - tt 300tr nhận nhà-miến gốc lãi 24 tháng. lh nga,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",51,1.95,2,2,29,Nam,,,4,3946178
Căn hộ bcons liền kề phạm văn đồng- booking 30tr/căn- nhận nhà t7/2024- tt 280tr,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",41,1.55,1,1,29,Bắc,,,4,3946163
Bcons polygon rổ hàng nội bộ cđt tầng đẹp 2pn2wc - tt 280 triệu nhận nhà,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",51,1.75,2,2,29,Nam,,,4,3946107
Căn hộ trả góp tt 300tr nhận nhà - miễn gốc lãi 24 th- lk phạm văn đồng thủ đức,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",54,0.0918,2,2,29,Bắc,,,4,3949548
Chung cư t t căn hộ sang trọng đẳng cấp 2 phòng ngủ ngay trung tâm tp vinh,"Phường Quang Trung, Thành phố Vinh, Nghệ An",61.3,1.5,2,2,10,Đông nam,,,2,3944342
Bán căn tecco diamond giá hơn 1 tỷ hỗ trợ 70%,"Tứ Hiệp, Xã Ngũ Hiệp, Huyện Thanh Trì, Hà Nội",110,2,4,3,8,Đông nam,30,10,,3947490
"Chính chủ mở bán ccmn quan hoa hơn 600tr/căn 30-50m2 oto đỗ 30m,đủ nội thất","Quận Cầu Giấy, Hà Nội",30,0.6,1,1,,,,,,3795970
Chung cư mini công viên hòa bình-xuân đỉnh 500tr/c 35-60m2,"Đường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",47,0.6,,,,,,,,3055495
"Chính chủ bán chung cư vân hồ 3- chỉ hơn 600tr/căn full nội thất,ngõ oto,gần cv","Chung cư Vân Hồ 3, Quận Hai Bà Trưng, Hà Nội",31,0.6,1,1,,,,,,3710219
Chủ đầu tư bán ccmn trần thái tông 30 50m2 giá từ 600tr căn,"Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",30,0.6,1,1,,,,,,3608364
Cđt bán chung cư cao cấp nguyễn văn cừ 600tr/c đủ nội thất,"Quận Long Biên, Hà Nội",39,0.6,1,1,,,,,,3176124
"Chính chủ bán ccmn kim mã- đội cấn 600tr/căn 1-2pn có view hồ,tách sổ hồng,đủ nt","Quận Ba Đình, Hà Nội",30,0.6,1,1,6,,,,,3759770
Cđt bán chung cư mini cầu giấy-yên hòa 500tr/c full nội thất,"Quận Cầu Giấy, Hà Nội",32,0.5,,,,,,,,3074620
Bán căn hộ giá tốt . dự án mteastmark city,"Phường Long Trường, Quận 9, TP HCM",65,2535,1,1,,,,,1,3949537
Bán căn hộ giá tốt . dự án mteastmark city q9,"MT Eastmark City, Phường Long Trường, Quận 9, TP HCM",65,2535,,,,,,,,3949530
Căn hộ giá tốt quận 9 dự án mteastmark city,"MT Eastmark City, Phường Long Trường, Quận 9, TP HCM",65,Thỏa thuận,1,1,,,,,1,3949524
"Bán căn hộ chung cư - ở, đầu tư cho thuê, thanh khoản tốt.","Quận Đống Đa, Hà Nội",30,0.68,1,1,,,5,,,3855734
Bán căn hộ chung cư văn tiến dũng - cầu diễn - mới,"Quận Bắc Từ Liêm, Hà Nội",35,0.79,1,1,,,,,,3856222
Bán chung cư trích sài - view hồ tây - cách hồ tấy 50m.,"Quận Tây Hồ, Hà Nội",35,0.8,1,1,,,,,,3920912
Bán căn hộ chung cư đống đa - ô tô đỗ cửa - mới,"Quận Đống Đa, Hà Nội",30,0.6,1,1,,,,,,3858482
"Ban chung cư mini trích sài, view hồ tây, đẹp lung linh,diện tích từ 33,37, 55m2","Quận Tây Hồ, Hà Nội",33,0.68,1,1,,,,,,3924427
Bán căn hộ chung cư tôn thất tùng - view hồ - ô tô đỗ cửa.,"Quận Đống Đa, Hà Nội",50,0.9,2,1,,,5,,,3856243
"Bán chung cư phương mai - gải phóng - sổ hồng, ở ngay.","Quận Đống Đa, Hà Nội",45,0.68,1,1,,,,,,3938394
Bán chung cư mini cầu diễn - văn tiến dũng - 42m2 - 660tr,"Quận Bắc Từ Liêm, Hà Nội",42,0.66,1,1,,,,,,3854730
Bán căn hộ chung cư văn tiến dũng - cầu diễn - mới,"Quận Bắc Từ Liêm, Hà Nội",35,0.79,1,1,,,,,,3856222
"Bán căn hộ chung cư - ở, đầu tư cho thuê, thanh khoản tốt.","Quận Đống Đa, Hà Nội",30,0.68,1,1,,,5,,,3855734
Bán chung cư trích sài - view hồ tây - cách hồ tấy 50m.,"Quận Tây Hồ, Hà Nội",35,0.8,1,1,,,,,,3920912
"Bán chung cư t23 quan nhân - vũ trọng phụng - thiết kê hiện đại, thông thoáng.","Quận Thanh Xuân, Hà Nội",33,0.6,1,1,5,,3,,,3931148
"Bán chung cư phương mai - gải phóng - sổ hồng, ở ngay.","Quận Đống Đa, Hà Nội",45,0.68,1,1,,,,,,3938394
"Bán chung cư xã đàn - phạm ngọc thạch, full đồ, ở ngay.","Phường Phương Liên, Quận Đống Đa, Hà Nội",33,0.59,1,1,,,,,,3946047
Bán chung cư nguyễn trãi - thanh xuân - 1 đến 3 ngủ.,"Quận Thanh Xuân, Hà Nội",33,0.72,1,1,,,,,,3925310
Bán chung cư mini trích sài - sổ hồng vĩnh viễn - viesw hồ tây.,"Quận Ba Đình, Hà Nội",55,1,2,1,,,,,,3920925
Bán chung cư mini cầu diễn - văn tiến dũng - 42m2 - 660tr,"Quận Bắc Từ Liêm, Hà Nội",42,0.66,1,1,,,,,,3854730
Bán chung cư cầu diễn - văn tiến dũng - đh công nghiệp hà nội,"Quận Bắc Từ Liêm, Hà Nội",28,0.5,1,1,,,,,,3855259
"Chỉ với 2.8 tỷ sở hữu căn hộ 99m2 tại euro river park , đông anh, hà nội","Quốc Lộ 5 Kéo dài, Xã Đông Hội, Huyện Đông Anh, Hà Nội",99,2.8,3,2,,Đông nam,,,,3949497
Căn hộ bcons dĩ an - bình dương 53m2 giá 1.5 tỷ 2pn 1wc,"Bcons Bee, Phường Bình An, Thị Xã Dĩ An, Bình Dương",53,1.5,2,1,9,Đông nam,9,5,1,3949480
"Cđt bán ccmn cao cấp bồ đề (cầu chương dương)chỉ từ 600tr/căn 32-55m2, ngõ ô tô","Quận Hoàn Kiếm, Hà Nội",31,0.6,1,1,7,,,,,3709971
"Mở bán chung cư mini trung tâm xã đàn chỉ 600tr/căn,ở ngay","Quận Đống Đa, Hà Nội",35,0.6,1,1,,,,,,3690834
"Chính chủ đầu tư bán chung cư mini hồ tùng mậu 550tr/căn 1-2pn, đủ nội thất","Quận Cầu Giấy, Hà Nội",35,0.55,,,,,,,,3875016
"Mở bán ccmn chương dương- nguyễn văn cừ 30-50m2/full nội thất,chỉ hơn 600tr","Quận Long Biên, Hà Nội",35,0.6,1,1,,,,,,3938290
"Bán chung cư mini đỗ nhuận- xuân đỉnh 520tr/căn 35-50m2 full nội thất, oto đỗ cử","Quận Bắc Từ Liêm, Hà Nội",35,0.52,1,1,6,Đông nam,,,,3860997
"Chính chủ bán chung cư tây hồ- trích sài từ 600tr/căn 28- 50m2 ở ngay, view hồ","Quận Tây Hồ, Hà Nội",30,0.6,1,1,,,,,,3781186
Chủ đầu tư bán ccmn vân hồ- công viên thống nhất chỉ hơn 600tr/căn full nội thất,"Quận Hoàn Kiếm, Hà Nội",31,0.6,1,1,,,,,,3701372
Tiến độ xây dựng lavita thuận an mới nhất - căn hộ mặt tiền đại lộ bình dương,"Đại Lộ Bình DƯơng, Phường Thuận Giao, Thị Xã Thuận An, Bình Dương",50,1.8,1,1,38,Đông nam,40,40,1,3896866
Chính chủ bán ccmn 279 đội cấn hoàng hoa thám hơn 700tr căn 40 50m2 full đồ,"Phường Cống Vị, Quận Ba Đình, Hà Nội",42,0.8,1,1,,,,,,3503466
"Chính chủ bán chung cư tây hồ- trích sài từ 600tr/căn 28- 50m2 ở ngay, view hồ","Quận Tây Hồ, Hà Nội",30,0.6,1,1,,,,,,3781186
Chủ đầu tư bán ccmn vân hồ- công viên thống nhất chỉ hơn 600tr/căn full nội thất,"Quận Hoàn Kiếm, Hà Nội",31,0.6,1,1,,,,,,3701372
Hot- mở bán ccmn tân mai- hồ đền lừ chỉ từ 600tr/căn 1-2pn full nội thất,"Quận Hoàng Mai, Hà Nội",30,0.6,1,1,,,,,,3741619
"Cđt bán ccmn cao cấp bồ đề (cầu chương dương)chỉ từ 600tr/căn 32-55m2, ngõ ô tô","Quận Hoàn Kiếm, Hà Nội",31,0.6,1,1,7,,,,,3709971
"Mở bán ccmn chương dương- nguyễn văn cừ 30-50m2/full nội thất,chỉ hơn 600tr","Quận Long Biên, Hà Nội",35,0.6,1,1,,,,,,3938290
"New galaxy hưng thịnh, cần bán căn nội bộ giá rẻ. lh 0931025383 nhận ck cao nhất","Căn hộ làng đại học Thủ Đức, Thị Xã Dĩ An, Bình Dương",51,1.7,1,1,19,,32,32,1,3823425
"Bán căn hộ new galaxy 3pn lớn 84m2, ban công rộng thoáng, chỉ 3 tỷ, góp 3 năm","Căn hộ làng đại học Thủ Đức, Thị Xã Dĩ An, Bình Dương",84,3,3,2,19,Đông nam,32,32,1,3790521
"Căn hộ q7 boulevard 2pn khu phú mỹ hưng, cđt hưng thịnh, mới nhận nhà","NGUYỄN LƯƠNG BĂNG (BROAD WAY), Quận 7, TP HCM",57,2.6,2,1,23,,40,40,2,3479270
"Căn hộ moonlight centre point cao cấp, sát aeon mall, số lượng giới hạn","Moonlight Centre Point, Quận Bình Tân, TP HCM",36,1.9,1,1,24,,40,40,1,3944262
Căn hộ grand center quy nhơn hưng thịnh vị trí 4 mặt tiền trung tâm,"Grand Center, Phường Lý Thường Kiệt, Thành Phố Quy Nhơn, Bình Định",50,1.9,2,1,42,,40,40,1,3661713
Bán căn hộ 5 sao vũng tàu pearl hưng thịnh cách biển bãi sau 150m giá rẻ nhất,"Vũng Tàu Pearl, Phường Thắng Tam, Thành Phố Vũng Tàu, Bà Rịa - Vũng Tàu",53,2,1,1,33,Đông,40,40,2,3547958
Căn nội bộ view biển vũng tàu pearl 2pn giá chỉ 36tr m2,"Vũng Tàu Pearl, Phường Thắng Tam, Thành Phố Vũng Tàu, Bà Rịa - Vũng Tàu",74,2.7,2,2,33,,40,40,2,3553658
"Căn hộ cao cấp lavita thuận an đường quốc lộ 13, đóng vượt còn 1.26 tỷ","Đại Lộ Bình DƯơng, Phường Thuận Giao, Thị Xã Thuận An, Bình Dương",37,1.26,1,1,38,,60,60,1,3946717
Những căn giá rẻ nhất dự án q7 saigon riverside complex,"Saigon Riverside Complex, Phường Phú Thuận, Quận 7, TP HCM",54,2,2,1,34,,40,40,2,3357139
Căn hộ quận 7 2pn view sông q7 saigon riverside complex,"Saigon Riverside Complex, Phường Phú Thuận, Quận 7, TP HCM",67,2.5,2,2,34,,40,40,2,3357227
Căn hộ quy nhơn melody 1.7 tỷ sở hữu vĩnh viễn căn hộ sát biển,"Quy Nhơn Melody Hưng Thịnh, Phường Bùi Thị Xuân, Thành Phố Quy Nhơn, Bình Định",50,1.7,2,1,,Đông bắc,40,40,2,3435828
Quy nhơn melody sở hữu lâu dài căn hộ sát biển giá 1 65 tỷ,"Quy Nhơn Melody Hưng Thịnh, Phường Bùi Thị Xuân, Thành Phố Quy Nhơn, Bình Định",50,1.65,1,1,35,Đông bắc,40,40,2,3437302
Bán căn 3pn 168m2 tại udic westlake tây hồ nhận nhà ở ngay,"Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",168,5.54,,,,,,,,3949447
Căn nội bộ 2pn giá chỉ 2tỷ5 tới 71m2 sở hữu lâu dài chiết khấu 31 1,"Khu đô thị biển An Viên, Phường Vĩnh Trường, Thành Phố Nha Trang, Khánh Hòa",71,2.13,,,,Đông nam,,,,3949299
Căn hộ lavita thuận an giá chỉ từ 1 4 1 8 tỷ căn ngân hàng hỗ trợ 70 20 năm,"Đại Lộ Bình DƯơng, Phường Thuận Giao, Thị Xã Thuận An, Bình Dương",54,1.4,2,2,,Đông nam,,,,3949384
"Cần bán căn hộ 137 nguyễn ngọc vũ,s 140m2, lô góc,giá 25 triệu/m2,lh 0978331669","Quận Cầu Giấy, Hà Nội",140,3.5,,,,,,,,3941943
"Bán cc vincom quang trung- vinh,lô góc,căn cao,s 67.5 m2,giá 1.630 tỷ,0978331669","Phường Lê Lợi, Thành phố Vinh, Nghệ An",67.5,1.63,,,19,,,,,3945074
"Chỉ 600 triệu sở hữu ngay căn hộ cao cấp le grand jardin sài đồng, hỗ trợ vay 0%","Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",50,1.9,2,2,5,Đông nam,15,,1,3949433
Bán căn hộ conic riverside q8 2pn 1wc chỉ còn 1.98 tỷ,"TẠ QUANG BỬU, Phường 7, Quận 8, TP HCM",65,1.98,2,1,,Đông bắc,,,,3948742
"Chỉ 3.8 tỷ sở hữu ngay penhouse đẳng cấp conic riverside, view đắt giá, dt 140m2","TẠ QUANG BỬU, Phường 7, Quận 8, TP HCM",140,3.8,3,2,,,,,,3948744
"Bán gấp cc conic riverside q8 2pn 2wc, view quận 1","TẠ QUANG BỬU, Phường 7, Quận 8, TP HCM",67,0.13802,2,2,,Tây bắc,,,,3948763
Bán căn góc 3pn 168m2 view sân golf và nội khu tại udic westlake ciputra,"Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",168,5.54,,,,,,,,3949421
Bán căn hộ thương mại topaz home quận 12,"Căn hộ Topaz Home, Phường Tân Thới Nhất, Quận 12, TP HCM",60,2,2,1,15,,,,,3949409
1.999.999.999đ 2pn 2wc mặt tiền phạm văn đồng nối dài,"PHƯỜNG HIỆP BÌNH CHÁNH, Phường Hiệp Bình Chánh, Quận Thủ Đức, TP HCM",70,2,2,2,,,32,32,,3949403
Bán căn hộ lavita thuận an với giá 1tỷx (x tiểu học). căn hộ chuẩn resort tại bì,"Nguyễn Thị Minh Khai, Phường Thuận Giao, Thị Xã Thuận An, Bình Dương",35,1.2,1,1,8,Tây Nam,,,,3949402
Chung cư tecco diamond nhận nhà ở ngay. giá tốt,"Tecco Diamond, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",69,1.87,2,2,,Đông bắc,,,1,3948168
"Hot: mở bán chung cư mini xuân đỉnh từ 500tr/căn 32-50m2 oto đỗ cửa,full nội thấ","Quận Bắc Từ Liêm, Hà Nội",30,0.5,1,1,,,,,,3795965
"Chính chủ mở bán ccmn trần khát chân 700tr/căn 1- 2pn full nội thất,oto đỗ cửa","Quận Hai Bà Trưng, Hà Nội",30,0.7,1,1,,,,,,3809866
"Hot - mở bán ccmn tân mai - hồ đền lừ 600tr/căn 1-2pn ô tô đỗ cửa, full nội thất","Quận Hoàng Mai, Hà Nội",30,0.55,1,1,,,,,4,3765619
"Cđt bán ccmn ngoại giao đoàn-võ chí công 500tr/căn oto đỗ cửa,full đồ","Quận Tây Hồ, Hà Nội",30,Thỏa thuận,1,1,,,,,,3799854
Chính chủ bán ccmn lạc long quân 30-50m2 chỉ từ 600tr/căn tách sổ hồng,"Quận Long Biên, Hà Nội",30,0.6,1,1,,,,,,3787329
"Bán nhanh ccmn kim liên- đông tác giá rẻ từ 580tr/c 1-2pn full nội thất, ở ngay","Quận Đống Đa, Hà Nội",30,0.58,1,1,,,,,,3929465
"Bán ccmn gần đh sư phạm-xuân thủy giá rẻ,full nội thất,oto đỗ cửa,tách sổ hồng","Quận Cầu Giấy, Hà Nội",36,0.5,1,1,,,,,,3929794
"Chính chủ bán ccmn kim mã - núi trúc 700tr/căn 35-55m2 full nội thất, ở ngay","Quận Ba Đình, Hà Nội",35,0.7,1,1,,,,,,3738229
Chung cư mini ngõ quỳnh - thanh nhàn công viên tuổi trẻ gần đh bách khoa,"Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",31,0.62,1,1,,,,,,3888682
Chung cư mini ngõ chợ khâm thiên chỉ từ 550 triệu/căn đủ đồ,"Khâm Thiên, Quận Đống Đa, Hà Nội",35,0.78,1,1,,,,,,3682250
