,title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
634,"Bán căn hộ ccmn hồ tùng mậu, 690 tr/2 pn full đồ giường tủ, kệ tivi","Quận Nam Từ Liêm, Hà Nội",45,0.69,2,,,,,,,3780912
635,"Bán lại căn hộ ccmn ngọc hà, 48m /2 ngủ full đồ","Quận Ba Đình, Hà Nội",48,1,2,1,,,,,,3772100
636,Chung cư mini quan hoa dt 35-48m full đồ,"Quận Cầu Giấy, Hà Nội",35,0.6,1,1,,,,,,3772156
637,Ccmn xuân đỉnh chỉ hơn 600 - 850 tr full đồ,"Quận Bắc Từ Liêm, Hà Nội",50,0.65,2,1,,,,,,3772172
638,Chung cư cầu diễn hồ tùng mậu chỉ 520 780 tr /c ăn,"Quận Bắc Từ Liêm, Hà Nội",35,0.52,1,,,,,,,3769863
639,"Cc mini xuân đỉnh, gần kđt ngoại giao đoàn,ô tô đỗ cửa chỉ 500 - 800 tr/ căn","Quận Bắc Từ Liêm, Hà Nội",35,0.55,,,,,,,,3769867
640,Chung cư mini xuân đỉnh 1-2 pn già từ 550 - 890 tr ô tô đỗ cửa,"Quận Cầu Giấy, Hà Nội",31,0.56,,,,,,,,3782420
641,"Bán ccmn ngã tư sở, trường chinh, ô tô đỗ cửa ( 30 -50 m) cách hồ 5m","Quận Đống Đa, Hà Nội",41,0.8,2,1,,,,,,3811957
642,"Bán lại căn hộ mini lê đức thọ , gần trường trí đức,46m/2pn","Quận Nam Từ Liêm, Hà Nội",46,0.8,2,1,,,,,,3808795
643,Bán lại căn hộ mini lê đức thọ 46m/2pn full đồ,"Quận Nam Từ Liêm, Hà Nội",46,0.9,1,,,,,,,3809440
644,"Bán căn hộ chung cư mini bán diện tích 46m chia 2pn, 1 khách gần trường báo chí","Quận Cầu Giấy, Hà Nội",45,1,,,,,,,,3828947
645,"Cđt bán ccmn trường chinh, tây sơn , ô tô đỗ cửa chỉ từ 550 tr","Quận Đống Đa, Hà Nội",30,0.55,,,,,,,,3829973
646,Bán lại căn hộ như hình 43m/2pn ô tô đỗ cửa,"Quận Tây Hồ, Hà Nội",43,0.86,2,1,,,,,,3848900
647,"Ccmn khâm thiên - ô chợ dừa 30-52m/1-2pn,đủ đồ, oto đỗ ngõ","Quận Đống Đa, Hà Nội",31,0.65,,,,,,,,3840688
648,"Bán lại căn hộ chung cư mini xuân thủy cầu giấy hn, diện tích 35m chia 1pn, 1pk,","Quận Cầu Giấy, Hà Nội",35,0.69,1,1,,,,,,3852816
649,Cắt lỗ ch mini gần ubnd xuân đỉnh 840tr/ 2pn/2wc đủ đồ,"Quận Bắc Từ Liêm, Hà Nội",46,0.84,2,2,,,,,,3861677
650,Bán ccmn đội cấn chợ ngọc hà- công viên bách thảo 30/ 55m từ 600tr / 1 tỷ,"Quận Ba Đình, Hà Nội",50,0.9,,,,,,,,3906112
651,Bán lại ccmn lê đức thọ 38m/1 pn/1pk/1 bếp wc,"Quận Nam Từ Liêm, Hà Nội",38,0.75,1,,,,,,,3880891
652,Chính chủ bán căn hộ chung cư 105 thụy khuê gần trường chu văn an 46m/ 2 pn,"Quận Tây Hồ, Hà Nội",46,1.19,2,1,,,,,,3875984
653,Bán lại căn hộ ccmn sơn tây chợ ngọc hà 48m2 / 2pn đầy đủ đồ ảnh thật như hình.,"Quận Ba Đình, Hà Nội",48,1.29,2,1,,,,,,3886561
654,"Chung cư hoàng hoa thám - đội cấn 30 -50m từ 780 tr - 1,2 tỷ","Quận Ba Đình, Hà Nội",35,0.78,1,1,,,,,,3924017
655,Trực tiếp cđt bán chung cư mini phương liên xã đàn vào ở ngay chỉ từ 600 -1 tỷ,"Quận Đống Đa, Hà Nội",31,0.6,1,1,,,,,,3922507
656,Bán lại căn hộ mini xuân thủy 36m gần học viện báo trí,"Quận Cầu Giấy, Hà Nội",36,0.78,1,1,,,,,,3868001
657,"Chung cư trường chinh tây sơn ở ngay 30-50m ô tô đỗ cửa, view hồ","Khương Thượng, Quận Đống Đa, Hà Nội",35,0.65,1,1,,,,,1,3861287
658,Chủ đầu tư mở bán chung cư phố văn hương - tôn đức thắng 30-50m giá (600 -880tr),"Quận Đống Đa, Hà Nội",35,0.6,1,1,,,,,,3861381
659,Bán nhanh căn hộ mini 39m trần cung-pvđ có sổ đỏ,"Quận Bắc Từ Liêm, Hà Nội",39,0.6,1,1,,,,,,3871440
660,"Tôi có căn hộ ccmn phố sơn tây bán dt 48m chia 2pn, 1 pk, bếp wc","Quận Ba Đình, Hà Nội",48,1.19,2,,,,,,,3839938
661,"Ccmn trường chinh, oto đỗ cửa view hồ 800 - 1 tỷ","Quận Đống Đa, Hà Nội",41,0.8,1,1,,,,,,3811937
662,"Chung cư mini văn cao - hồ tây, ô tô vào tận tòa nhà. chỉ từ 650 tr","Quận Ba Đình, Hà Nội",35,0.6,1,,,,,,,3782700
663,Bán ccmn 205 xuân đỉnh 48m/2 pn giá 765 tr,"Quận Bắc Từ Liêm, Hà Nội",48,0.765,2,1,,,,,,3788765
664,"Ở bán ccmn cầu diễn 31 - 45m2, chỉ hơn 500 tr/ căn","Quận Nam Từ Liêm, Hà Nội",31,0.56,1,,,,,,,3782404
665,Chung cư thái hà chùa bộc chỉ 650 1 tỷ / có ngay căn hộ 1 - 2 ngủ,"Quận Đống Đa, Hà Nội",45,1,2,1,,,,,,3780068
666,"Chung cư trích sài , hồ tây dt 35-52m dự án đang nhận bàn giao vào ở ngay.","Quận Tây Hồ, Hà Nội",31,0.65,,,,,,,,3771258
667,"Chung cư mini kim mã, ba đình (35 - 50 m.)","Quận Ba Đình, Hà Nội",48,1,,,,,,,,3776559
668,Bán lại ccmn lê đức thọ 45m/2p nhà có đồ chỉ việc ở,"Quận Bắc Từ Liêm, Hà Nội",45,0.92,,,,,,,,3937963
669,"Le grand jardin sài đồng, long biên , 2.6 tỷ -83m2","Chung cư Le Grand Jardin, Quận Long Biên, Hà Nội",83,2.6,3,2,,Đông nam,,,,3933276
670,Chính chủ gửi bán b11-b12-b16 tầng 25 alacarte hạ long,"À La Carte Halong Bay, Phường Hùng Thắng, Thành Phố Hạ Long, Quảng Ninh",75.5,4.8,2,2,,,,,,3947879
671,Booking căn hộ dự án đẹp nhất 2022 nằm trong eco.park,"KĐT Ecopark, Thị Trấn Văn Giang, Huyện Văn Giang, Hưng Yên",55,2.5,2,1,,Đông nam,,,1,3947874
672,Cần bán chung cư ngô gia tự phường 2 quận 10,"NGÔ GIA TỰ, Phường 2, Quận 10, TP HCM",42,1.5,1,1,2,Đông,,,,3947805
673,Cần bán ccmn thang máy xịn - dòng tiền cho thuê cao - khu vực nhiều tiện ích,"Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",60,10,11,11,7,,7,4.5,,3947777
674,Vịt trong đám thiên nga the ori garden chỉ từ 900 triệu đồnggia tăng giá trị lớn,"Phường Hòa Hiệp Nam, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",50,0.9,3,1,21,,,,,3947773
675,Cần bán gấp căn hộ cc đại thanh giá chỉ 1.2 tỷ,"Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",60,1.3,2,2,,Tây bắc,,,,3947720
676,Pkd chủ đầu tư thông báo quỹ căn 2pn - 3pn - 4pn cập nhật mới nhất. chiết khấu,"Lạc Long Quân, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",93,10,2,2,,Đông nam,,,,3947616
677,Bán chung cư cao cấp t&t trung tâm thành phố vinh,"Phường Quang Trung, Thành phố Vinh, Nghệ An",55,1.4,2,2,28,,25,,4,3947613
678,Bán căn hộ chung cư cao cấp 2pn 1 vinhomes ocean park đẳng cấp thượng lưu.,"Vinhomes Gia Lâm, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội",56,0.8,2,1,,,,,4,3947610
679,1 tỷ 7 lấy ngay nhà hà nội 2 ngủ - có sổ hồng lâu dài,"Tecco Diamond, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",64.1,1.78,2,2,,,,,,3947563
680,"Chỉ 2.2 tỷăn 86m2 full nội thất cao cấp, sổ đỏ trao tay nhận ngay 1 cây vàng","TSG Lotus, Quận Long Biên, Hà Nội",86,0.1892,3,2,,,,,,3939110
681,Bán nhanh căn hộ chung cư cao cấp the city light,"The City Light, Phường Khai Quang, Thị Xã Vĩnh Yên, Vĩnh Phúc",42,1,1,1,10,Đông nam,24,4,2,3947486
682,"Căn hộ sở hữu lâu dài, view trọn vịnh nha trang xinh đẹp - new galaxy nha trang","Khu đô thị biển An Viên, Phường Vĩnh Trường, Thành Phố Nha Trang, Khánh Hòa",53,2.5,1,1,23,,30,30,1,3947473
683,"Phân phối chính thức t&t capella phạm ngọc thạch dt 52 -177,8m2 giá chỉ từ 70tr","Trung tự, Phường Trung Tự, Quận Đống Đa, Hà Nội",58,1.6,1,1,,Đông nam,,,,3947466
684,"Căn hộ biển 5 sao new galaxy nha trang hưng thịnh, số lượng giới hạn","Khu đô thị biển An Viên, Phường Vĩnh Trường, Thành Phố Nha Trang, Khánh Hòa",35,1.7,1,1,1,,30,30,1,3947463
685,"Nhận nhà ở ngay, chỉ 1.9 tỷ/căn 2pn (71m2) bc đông nam tại eurowindow river park","Chung cư Eurowindow River Park, Xã Đông Hội, Huyện Đông Anh, Hà Nội",71,1.9,2,2,12,Đông nam,,,1,3947423
686,"Hỗ trợ tư vấn thông tin, giá bán, chiết khấu, thanh toán căn hộ lavita thuận an","Đại Lộ Bình DƯơng, Thị Xã Thuận An, Bình Dương",50,1.8,1,1,38,,40,40,1,3894039
687,"Bán căn hộ 2pn, 2wc, 75m2, 3 tỷ, view sông, thoáng mát, q.2","Căn hộ Homyland, Phường Bình Trưng Đông, Quận 2, TP HCM",75,3,2,2,1,,8,8,4,3947395
688,Căn hộ sân vườn d-aqua quận 8. 3.2 tỷ sở hữu 2pn,"D – Aqua, Phường 14, Quận 8, TP HCM",71,2.27,2,2,25,Tây Nam,,,1,3947374
689,Căn hộ xã hội vĩnh long alo mình nhé **************,"Vĩnh Long New Town, Phường 4, Thành Phố Vĩnh Long, Vĩnh Long",48,0.8,2,2,7,Đông,,5,4,3947372
690,Bán cắt lỗ chung cư trần cung viện e 39m giá 550 tr,"Quận Bắc Từ Liêm, Hà Nội",39,0.55,1,1,,,,,,3867305
691,"Chung cư thái hà - yên lãng, studio, 1pn - 3pn, 500tr/căn, full nội thất","Quận Đống Đa, Hà Nội",30,0.5,1,1,,,,,,3778582
692,Chung cư mini xuân đỉnh ô tô đỗ cửa giá 550 - 850 tr,"Quận Bắc Từ Liêm, Hà Nội",50,0.8,2,1,,,,,,3770524
693,"Cđt bán cc tông thất tùng, trường chinh 30 -50 m ô tô đỗ","Quận Đống Đa, Hà Nội",35,0.8,1,1,,,,,,3821081
694,Cđt mở bán ch 50m2 63m2 82m2 84m2 tầng đẹp hướng đẹp chưng cư le gand jardin,"Chung cư Le Grand Jardin, Phường Sài Đồng, Quận Long Biên, Hà Nội",77,2.9,2,2,,,,,4,3947359
695,Sở hữu ngay căn hộ cao cấp tại trung tâm thành phố thủ đức,"Phường Tam Phú, Quận Thủ Đức, TP HCM",80,4.5,2,2,15,,,,,3947314
696,Bán căn hộ chung cư cao cấp green pearl bắc ninh,"Green Pearl Bắc Ninh, Phường Võ Cường, TP. Bắc Ninh, Bắc Ninh",78,1.33,2,2,29,Đông,60,11,4,3947310
697,"Bán căn chung cư eurowindow, 27 trần duy hưng 123m2, 3pn, 2wc, giá 5.1 tỷ, l","Chung cư EuroWindow, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",123,0.6273,3,2,,,,,,3947297
698,Hot - siêu phẩm căn hộ 1 phòng ngủ tổ ấm vàng cho vợ chồng son,"MT Eastmark City, Phường Long Trường, Quận 9, TP HCM",63,2.27,,,,,,,,3947295
699,"Cần bán căn chung cư 198 nguyễn tuân, thanh xuân, 90m2, 2pn, 1wc, giá 2.35 t","Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",90,0.2115,2,1,,,,,,3947293
700,"Bán gấp căn chung cư 282 nguyễn huy tưởng, thanh xuân, 75m2, 3pn, 2wc, giá","Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",75,2.75,3,2,,,,,,3947289
701,"Bán căn hộ 2pn udic westlake, nhận nhà ngay, giá chỉ từ 3,2 tỷ full nội thất","Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",85,3.2,2,2,,,,,1,3947286
702,"Cần bán căn chung cư eurowindow 27 trần duy hưng, 100m2, 2pn, 2wc, giá 4.25","Trần Duy Hưng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",100,4.25,2,2,,,,,,3947278
703,"Bán căn hộ 3pn udic westlake, nhận nhà luôn, giá chỉ từ 3,8 tỷ full nội thất","Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",116,3.8,3,2,,,,,1,3947269
704,"Bán căn hộ 3pn the link 345 ciputra. nhận nhà luôn, giá chỉ từ 4,9 tỷ","The Link 345 Ciputra, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",116,4.9,3,2,,,,,1,3947259
705,Vịt trong đám thiên nga the ori garden: gia tăng giá trị lớn,"Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",50,0.9,3,1,21,,,,,3947231
706,Chung cư the lines ngay tại ecopark. chỉ 450tr sở hữu ngay căn 2n,"KĐT Ecopark, Thị Trấn Văn Giang, Huyện Văn Giang, Hưng Yên",55,2.5,2,1,15,Đông nam,,,,3947204
707,"Diamond park plaza 16 láng hạ sắp bàn giao,căn góc 3pn giá chỉ 9,8 tỷ","Láng Hạ (Ba Đình), Phường Thành Công, Quận Ba Đình, Hà Nội",123,9.8,3,2,,,,,1,3947193
708,Bán căn hộ cao cấp the city light vĩnh yên vp,"Phường Khai Quang, Thị Xã Vĩnh Yên, Vĩnh Phúc",42,1,1,1,10,,11.5,5.5,,3947179
709,Căn hộ cao cấp king crown infinity - thủ đức,"VÕ VĂN NGÂN, Phường Trường Thọ, Quận Thủ Đức, TP HCM",80,8,2,2,,Đông nam,16,16,,3947169
710,Bán căn hộ cao cấp the city light liên hệ 0383405266,"The City Light, Phường Khai Quang, Thị Xã Vĩnh Yên, Vĩnh Phúc",44,1.12,1,1,4,Đông nam,,,,3947168
711,Bán căn 3pn 91m2 bc đông nam view sông đuống chỉ 2 4tỷ tại euro river park,"Chung cư Eurowindow River Park, Xã Đông Hội, Huyện Đông Anh, Hà Nội",91,2.4,3,2,14,Đông nam,,,1,3947164
712,"Căn ngoại giao 85m 3 ngủ duy nhất, tầng đẹp, ký trực tiếp cdt tại phương đông","Phương Đông Green Park, Quận Hoàng Mai, Hà Nội",85,2.59,3,2,,Đông bắc,,,1,3895715
713,"Mở bán dv03 rose town - 31 trần thủ độ, hoàng mai giá 1,8 tỷ 2pn - 2,5 tỷ 3pn","Rose Town, Quận Hoàng Mai, Hà Nội",92,2.5,3,2,12,Đông nam,,,1,3895725
714,Căn hộ cao cấp 2PN Vinhome Grand Park Bàn giao đầy đủ nội thất chỉ thanh toán trước 600tr nhận ngay ,"VinHomes Grand Park, Quận 9, ",66,3.1,2,,21,Đông,,,,3946169
715,Căn hộ cao cấp chỉ với 600tr nhận ngay căn hộ 2PN đầy đủ nội thất Vinhome đối diện TTTM Vincom L,"VinHomes Grand Park, Quận 9, ",66,3.1,2,,21,Đông,,,,3945617
716,Chỉ 600tr nhận ngay căn hộ cao cấp 2PN Vinhome đầy đủ nội thất,"VinHomes Grand Park, Quận 9, ",66,3.1,2,,21,Đông,,,,3945619
717,Đặt chỗ căn hộ cao cấp the lines giữa đại đô thị eco.park,"Xã Cửu Cao, Huyện Văn Giang, Hưng Yên",56,2.5,2,1,,Đông nam,,,1,3947141
718,Định cư úc sang lại căn hộ cao cấp chưa ở,"Phường An Bình, Thị Xã Dĩ An, Bình Dương",77,0.619,,,,,6,40,,3947125
719,Do đi định cư cần sang lại căn hộ cao cấp,"Phường Đông Hòa, Thị Xã Dĩ An, Bình Dương",77,0.619,2,2,,,6,40,4,3947121
720,"Westgate 3pn (85-113m2). thanh toán 15% chỉ 500tr nhận nhà, ưu đãi và ck lên tới","West Gate Park, Thị Trấn Tân Túc, Huyện Bình Chánh, TP HCM",85,3.5,3,2,19,,,,1,3947119
721,Mở bán chung cư số 2 phạm ngọc thạch - vị trí trung tâm - hỗ trợ vay 70%,"Trung tự, Phường Trung Tự, Quận Đống Đa, Hà Nội",130,10,,,,Bắc,,,,3947065
722,Chính chủ cần bán gấp căn hộ 51m2 2pn 2wc liền kề tp thủ đức,"Bcons Green View, Phường Dĩ An, Thị Xã Dĩ An, Bình Dương",51,1.7,2,2,18,,,,4,3946082
723,160 triệu sở hữu ngay căn hô cao cấp tại trung tâm tp thuận an.,"Legacy Central, Phường Thuận Giao, Thị Xã Thuận An, Bình Dương",42,0.9,1,1,,,,,,3947044
724,Căn hộ cao cấp đáng sống tiện nghi sang trọng tại the city light,"Phường Khai Quang, Thị Xã Vĩnh Yên, Vĩnh Phúc",42,0.0504,1,1,5,Tây Nam,30,,,3946975
725,Chính chủ cần bán nhà chung cư- 137 nguyễn ngọc vũ- full nội thất chỉ việc vào ở,"Nguyễn Ngọc Vũ, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",132,3,3,3,20,Tây bắc,5,4,4,3946954
726,Căn hộ 4pn tecco garden: của hiếm còn sót lại ở thủ đô,"Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",127,2.8,4,3,,,,,1,3946742
727,"Sở hữu căn hộ 4pn - dt 127m2 nhận nhà ở ngay , sổ đỏ trao tay giá chỉ từ 22tr/m2","Tecco Skyville Tower, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",127,2.79,4,3,,,,,1,3945404
729,Cơ hội an cư và đầu tư hấp dẫn tại tttp. thuận an.thanh toán từ 249 triệu sở hữu,"Legacy Central, Thị Xã Thuận An, Bình Dương",33,0.9,1,1,,,,,,3944106
730,Dự án quy nhơn melody căn hộ sát biển chỉ 1.7 tỷ,"Quy Nhơn Melody Hưng Thịnh, Phường Nguyễn Văn Cừ, Thành Phố Quy Nhơn, Bình Định",49.8,1.7,2,1,35,Đông,40,40,2,3430565
731,Cần bán căn hộ chung cư amazing bình chánh full nội thất,"Xã Tân Nhựt, Huyện Bình Chánh, TP HCM",40,0.63,1,1,2,,,,,3946768
732,"Chỉ 630tr sở hữu ngay căn 2pn(68m2) tầng 24, bc đông bắc,tại eurowindow river p","Chung cư Eurowindow River Park, Thị Trấn Đông Anh, Huyện Đông Anh, Hà Nội",68,1.85,2,2,24,Đông bắc,,,1,3946765
733,"Sở hữu căn hộ 2 pn (77m2) đông nam, view bể bơi chỉ 850tr tại le grand jardin","Chung cư Le Grand Jardin, Phường Sài Đồng, Quận Long Biên, Hà Nội",77,2.9,2,2,,,,,4,3946749
734,"Căn hộ cao cấp phạm văn đồng, full nội thất, khoảng 120m2, giá","Phường Bình Chiểu, Quận Thủ Đức, TP HCM",120,4.32,3,2,,,,3,,3946744
735,"Bán chung cư cao cấp phạm ngọc thạch, đống đa, vay 70%, ck 8% 150 triệu nội th","Trung tự, Phường Trung Tự, Quận Đống Đa, Hà Nội",130,10,,,,Nam,,,,3946729
736,"Tặng ngay 3 chỉ vàng tân gia khi mua căn 2 ngủ, dt 75m2, kđt sài đồng","Chung cư Le Grand Jardin, Quận Long Biên, Hà Nội",75,2.4,2,2,11,Đông nam,20,,1,3938281
737,"Chính chủ cần bán căn hộ 2 phòng ngủ, 75m2, ban công đông nam, kđt sài đồng","Chung cư Le Grand Jardin, Quận Long Biên, Hà Nội",75,2.3,2,2,11,,,,1,3939382
738,"Cần bán gấp căn ngoại giao 3 pn, 80m2, giá 1,97 tỷ, ban công đông nam","Giang Biên, Quận Long Biên, Hà Nội",80,1.97,2,2,12,Đông nam,20,20,2,3940801
739,"Nhanh tay cọc gấp 2 căn 4pn cuối cùng của dự án lotus sài đồng, 113m2 giá 3 tỷ","TSG Lotus, Quận Long Biên, Hà Nội",113,3,4,2,11,Đông nam,40,40,2,3940239
740,"Cần bán gấp căn ngoại giao 3 pn, 86m2, giá 2,3 tỷ, dự án lotus sài đồng","TSG Lotus, Quận Long Biên, Hà Nội",86,2.3,3,2,11,Đông nam,40,40,2,3940233
741,Tsg lotus sài đồng - căn hộ cc cao cấp bậc nhất long biên - nhận nhà ở ngay chỉ,"TSG Lotus, Quận Long Biên, Hà Nội",71,2.1,2,2,11,Đông nam,40,40,2,3940247
742,"Tặng ngay 1 cây vàng quà tân gia, khi mua căn hộ 2~3 pn, view vinhomes riverside","TSG Sài Đồng Lotus, Quận Long Biên, Hà Nội",92,2.5,3,2,11,Đông nam,40,40,2,3940249
743,"Valencia garden - căn hộ thương mại - view trọn vinhomes riverside, 1,5 tỷ","Giang Biên, Quận Long Biên, Hà Nội",61,1.5,2,2,11,Đông nam,20,20,2,3940796
744,"Chỉ với 500 triệu, sở hữu căn hộ 2 phòng ngủ, view trọn vẹn vinhomes riverside","Giang Biên, Quận Long Biên, Hà Nội",65,1.5,2,2,10,Đông nam,20,20,2,3940798
745,Rose town - căn hộ cc cao cấp trung tâm kđt pháp vân- nhận nhà ở ngay với 600tr,"Rose Town, Quận Hoàng Mai, Hà Nội",65,1.9,2,2,15,,30,20,1,3942098
746,"Chính chủ cần bán căn hộ 2 phòng ngủ, 70m2, ban công đông nam, kđt pháp vân, 2ty","Rose Town, Quận Hoàng Mai, Hà Nội",70,2,2,2,16,,30,20,1,3942100
747,"Ck 5% quà tân gia 3 chỉ vàng, khi mua căn hộ 3 pn, ngay cạnh bx nước ngầm","Rose Town, Quận Hoàng Mai, Hà Nội",92,2.6,3,2,18,,30,20,1,3942102
748,"Cần bán gấp căn ngoại giao 3 pn, 92m2, giá 2,6 tỷ, dự án rose town","Rose Town, Quận Hoàng Mai, Hà Nội",92,2.6,3,2,16,,30,20,1,3942105
749,Lotus sài đồng - căn hộ đẳng cấp - sổ hồng trao tay - nhận ngay cây vàng,"TSG Sài Đồng Lotus, Quận Long Biên, Hà Nội",83,2.3,3,2,11,Đông nam,40,40,2,3940225
750,"Chính chủ cần bán căn hộ 3 phòng ngủ, 83m2, 2.3 tỷ, ban công đông nam, sài đồng","TSG Lotus, Quận Long Biên, Hà Nội",83,2.3,3,2,12,Đông nam,40,40,2,3940229
751,Eco city việt hưng -căn hộ đẳng cấp - sổ hồng trao tay - nhận ngay 2 chỉ vàng,"Căn hộ Eco City Việt Hưng, Quận Long Biên, Hà Nội",72,1.99,2,2,,,,,1,3937020
752,Eco city việt hưng - căn hộ cc cao cấp bậc nhất long biên,"Căn hộ Eco City Việt Hưng, Quận Long Biên, Hà Nội",63,0.1134,2,2,,,,,2,3935403
753,Cần bán căn hộ tecco diamond thanh trì tầng 12,"Tecco Diamond, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",70,1.96,2,2,25,,,,1,3946719
754,160tr sở hữu căn hộ cao cấp tại trung tâm tp thuận an.,"Legacy Central, Phường Thuận Giao, Thị Xã Thuận An, Bình Dương",42,0.9,1,1,29,,,,,3946711
755,"Căn hộ paris thủ thiêm, giá bán chỉ 1.5 tỷ nhận nhà vào tháng 10/2022","Paris Hoàng Kim, Phường Bình Khánh, Quận 2, TP HCM",73,1.5,2,2,26,,,,,3946703
756,Thông tin king crown infinity- thanh toán chỉ 15% đến lúc nhận nhà,"King Crown Infinity, Phường Bình Thọ, Quận Thủ Đức, TP HCM",88,8,2,2,30,Đông,20,20,1,3946677
757,500tr bán căn hộ diamondhill tháp đôi bách việt - bắc giang ( suất ngoại giao),"Hoàng Quốc Việt, TP Bắc Giang, Bắc Giang",68,0.5,2,2,6,,25,,,3922458
758,"362tr căn 2 mặt thoáng 60m2, 2 phòng ngủ, view tp và quảng trường 3/2","Bách Việt Lake Garden, TP Bắc Giang, Bắc Giang",59.5,0.362,2,2,,Nam,,,1,3767783
759,400tr bán nhanh căn hộ chung cư saigontel bắc giang,"Nguyễn Văn Cừ, TP Bắc Giang, Bắc Giang",68,0.4,2,2,8,Đông nam,15,,1,3898567
760,365 tr căn chung cư 2p ngủ tại kđt bách việt- đã bàn giao - sổ hồng chính chủ,"Bách Việt Lake Garden, TP Bắc Giang, Bắc Giang",57,0.99,2,2,12,,25,6,,3724383
761,"Bán căn hộ 2pn udic westlake, nhận nhà luôn, giá chỉ từ 3,2 tỷ full nội thất","Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",85,3.2,2,2,,,,,1,3946624
762,"Bán căn hộ 3pn udic westlake, nhận nhà ngay,giá chỉ từ 3,8 tỷ full nội thất","Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",116,3.8,3,2,,,,,1,3946619
763,Cđt cập nhật bảng giá t5 2022 sở hữu 2pn đông bắc hỗ trợ 0 ls 18th ck 3 5,"Phường Đức Giang, Quận Long Biên, Hà Nội",72,2.2,2,2,10,,,,4,3946605
764,"Capital land mở bán căn hộ heritage westlake, sở hữu lâu dài, thang máy riêng","Lạc Long Quân, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",95,8.5,2,2,,,,,,3946603
765,"Căn 2pn 2wc (63m2) bc đông nam, view sông đuống.chỉ 1.75tỷ eurowindow river park","Chung cư Eurowindow River Park, Xã Đông Hội, Huyện Đông Anh, Hà Nội",63,1.75,2,2,24,Đông nam,,,1,3946601
766,Cần bán căn hộ tầng 8 căn 3 phòng ngủ charm city tầng 8,"Charm City, Phường Dĩ An, Thị Xã Dĩ An, Bình Dương",85,2.14,3,2,,Đông bắc,,,,3946597
767,"Diamond park plaza 16 láng hạ nhận nhà ngay, giá chỉ từ 4 tỷ/căn full nội thất","Láng Hạ (Ba Đình), Phường Thành Công, Quận Ba Đình, Hà Nội",54,4,,,,,,,,3946569
768,Căn hộ chung cư cao cấp the lines giữa đại đô thị triệu cây xanh ecopark,"KĐT Ecopark, Xã Cửu Cao, Huyện Văn Giang, Hưng Yên",84,0.336,3,2,27,Đông nam,,,,3946557
769,Căn hộ biển sở hữu lâu dài cung đường tỷ đô trần phú nha trang,"Phường Xương Huân, Thành Phố Nha Trang, Khánh Hòa",45,3,1,1,24,,10,10,,3946540
770,Bán suất ngoại giao căn hộ giá tốt nhất dự án sunshine green iconic l,"Sunshine Green Iconic, Phường Phúc Đồng, Quận Long Biên, Hà Nội",79,0.3792,2,2,5,Đông bắc,,,1,3946531
771,Căn hộ đầy đủ tiện ích tại thành phố thuận an.,"Legacy Central, Thị Xã Thuận An, Bình Dương",33,0.9,1,1,29,,,,1,3940756
772,Chỉ 225 triệu(25%) sở hữu ngay căn hộ hạng sang tại thành phố thuận an.n,"Legacy Central, Thị Xã Thuận An, Bình Dương",33,0.9,1,1,29,,,,1,3941445
773,"Bán suất ngoại giao ,căn hộ giá tốt nhất dự án sunshine green iconic l","Sunshine Green Iconic, Phường Phúc Đồng, Quận Long Biên, Hà Nội",79,4.8,2,2,,Đông bắc,,,1,3946524
774,Bán gấp căn hộ 2 pn cao cấp smart home hiện đại giá chỉ từ 1 8 tỷ,"Tecco Diamond, Xã Ngũ Hiệp, Huyện Thanh Trì, Hà Nội",64,1.8,2,2,25,Tây bắc,,,,3946466
775,Booking căn hộ dự án hot nhất 2022 nằm trong eco.park,"KĐT Ecopark, Thị Trấn Văn Giang, Huyện Văn Giang, Hưng Yên",64,2.75,2,2,,Đông nam,,,1,3946453
776,Tri ân kh khi mua nhà trong tháng 8- bán cc 86m2 tại ecocity việt hưng,"Căn hộ Eco City Việt Hưng, Quận Long Biên, Hà Nội",86,2.7,3,2,,,,,,3941495
